,DateTime,Open,High,Low,Close
311,2019-09-12,301.25,302.46,300.41,301.29
312,2019-09-13,301.78,302.17,300.68,301.09
313,2019-09-16,299.84,300.65,299.45,300.16
314,2019-09-17,299.93,301.02,299.75,300.92
315,2019-09-18,300.49,301.22,298.24,301.1
316,2019-09-19,301.53,302.63,300.71,301.08
317,2019-09-20,300.36,300.67,297.41,298.28
318,2019-09-23,297.55,299.0,297.27,298.21
319,2019-09-24,299.41,299.84,294.81,295.87
320,2019-09-25,295.95,298.11,294.33,297.62
321,2019-09-26,297.63,297.86,295.45,297.0
322,2019-09-27,297.83,297.95,293.69,295.4
323,2019-09-30,295.96,297.55,295.92,296.77
324,2019-10-01,297.73,298.46,293.0,293.24
325,2019-10-02,291.51,291.51,286.64,288.06
326,2019-10-03,287.82,290.42,284.82,290.42
327,2019-10-04,291.14,294.63,291.08,294.35
328,2019-10-07,293.47,295.26,292.77,293.08
329,2019-10-08,291.04,291.85,288.49,288.53
330,2019-10-09,290.75,292.3,290.06,291.27
331,2019-10-10,291.18,294.21,291.0,293.24
332,2019-10-11,296.25,298.74,296.14,296.28
333,2019-10-14,295.92,296.67,295.57,295.95
334,2019-10-15,297.09,299.7,296.97,298.88
335,2019-10-16,298.35,299.16,297.92,298.4
336,2019-10-17,299.67,300.24,298.51,299.28
337,2019-10-18,298.68,299.4,296.99,297.97
338,2019-10-21,299.42,300.21,298.93,299.99
339,2019-10-22,300.58,300.9,298.91,299.01
340,2019-10-23,298.73,299.94,298.49,299.88
341,2019-10-24,300.91,301.07,299.46,300.37
342,2019-10-25,299.74,302.2,299.69,301.6
343,2019-10-28,302.93,303.85,302.91,303.3
344,2019-10-29,303.0,304.23,302.86,303.21
345,2019-10-30,303.43,304.55,301.99,304.14
346,2019-10-31,304.11,304.13,301.73,303.33
347,2019-11-01,304.91,306.19,304.74,306.14
348,2019-11-04,307.85,308.0,306.96,307.37
349,2019-11-05,307.57,307.92,306.71,307.03
350,2019-11-06,307.03,307.4,306.06,307.1
351,2019-11-07,308.59,309.46,307.66,308.18
352,2019-11-08,307.8,308.97,307.03,308.94
353,2019-11-11,307.42,308.54,307.27,308.35
354,2019-11-12,308.74,309.99,308.15,309.0
355,2019-11-13,307.91,309.54,307.66,309.1
356,2019-11-14,308.79,309.64,308.09,309.55
357,2019-11-15,311.01,311.83,310.26,311.79
358,2019-11-18,311.53,312.28,311.03,312.02
359,2019-11-19,312.67,312.69,311.22,311.93
360,2019-11-20,311.28,311.85,309.06,310.77
361,2019-11-21,310.88,311.01,309.39,310.27
362,2019-11-22,311.09,311.24,309.85,310.96
363,2019-11-25,311.98,313.37,311.98,313.37
364,2019-11-26,313.41,314.28,313.06,314.08
365,2019-11-27,314.61,315.48,314.37,315.48
366,2019-11-29,314.86,315.13,314.06,314.31
367,2019-12-02,314.59,314.66,311.17,311.64
368,2019-12-03,308.65,309.64,307.13,309.55
369,2019-12-04,310.69,312.12,310.32,311.46
370,2019-12-05,312.24,312.25,310.58,312.02
371,2019-12-06,314.1,315.31,314.1,314.87
372,2019-12-09,314.42,315.18,313.8,313.88
373,2019-12-10,313.83,314.55,312.81,313.53
374,2019-12-11,314.05,314.7,313.59,314.42
375,2019-12-12,314.43,317.99,314.17,317.13
376,2019-12-13,316.87,318.67,316.02,317.32
377,2019-12-16,319.18,320.15,319.17,319.5
378,2019-12-17,319.92,320.25,319.48,319.57
379,2019-12-18,320.01,320.25,319.53,319.59
380,2019-12-19,319.79,320.98,319.75,320.9
381,2019-12-20,320.46,321.45,320.37,320.73
382,2019-12-23,321.59,321.65,321.06,321.22
383,2019-12-24,321.47,321.52,320.9,321.23
384,2019-12-26,321.66,322.94,321.64,322.94
385,2019-12-27,323.74,323.8,322.28,322.86
386,2019-12-30,322.96,323.1,320.55,321.08
387,2019-12-31,320.52,322.13,320.15,321.86
388,2020-01-02,323.55,324.87,322.53,324.87
389,2020-01-03,321.13,323.64,321.1,322.41
390,2020-01-06,320.49,323.73,320.36,323.64
391,2020-01-07,323.02,323.54,322.24,322.73
392,2020-01-08,322.95,325.78,322.67,324.45
393,2020-01-09,326.15,326.73,325.52,326.65
394,2020-01-10,327.31,327.46,325.2,325.71
395,2020-01-13,326.4,327.96,325.92,327.95
396,2020-01-14,327.48,328.62,326.84,327.45
397,2020-01-15,327.34,329.02,327.26,328.19
398,2020-01-16,329.7,330.92,329.45,330.92
399,2020-01-17,331.69,332.18,331.07,331.95
400,2020-01-21,330.89,332.18,330.82,331.3
401,2020-01-22,332.24,332.95,331.17,331.34
402,2020-01-23,330.64,331.92,329.41,331.72
403,2020-01-24,332.44,332.53,327.36,328.77
404,2020-01-27,323.03,325.12,322.66,323.5
405,2020-01-28,325.06,327.85,324.55,326.89
406,2020-01-29,328.38,328.63,326.4,326.62
407,2020-01-30,324.36,327.91,323.54,327.68
408,2020-01-31,326.99,327.17,320.73,321.73
409,2020-02-03,323.35,326.16,323.22,324.12
410,2020-02-04,328.07,330.01,327.72,329.06
411,2020-02-05,332.27,333.09,330.67,332.86
412,2020-02-06,333.92,334.19,332.8,333.98
413,2020-02-07,332.82,333.62,331.6,332.2
414,2020-02-10,331.23,334.72,331.19,334.68
415,2020-02-11,336.17,337.02,334.75,335.26
416,2020-02-12,336.83,337.65,336.43,337.42
417,2020-02-13,335.86,338.12,335.56,337.06
418,2020-02-14,337.46,337.73,336.2,337.6
419,2020-02-18,336.52,337.17,335.21,336.73
420,2020-02-19,337.77,339.08,337.48,338.34
421,2020-02-20,337.75,338.64,333.68,336.95
422,2020-02-21,335.47,335.81,332.58,333.48
423,2020-02-24,323.14,325.85,321.24,322.42
424,2020-02-25,323.93,324.61,311.69,312.65
425,2020-02-26,314.19,318.11,310.7,311.5
426,2020-02-27,305.46,309.65,297.51,297.51
427,2020-02-28,288.7,296.26,285.54,296.26
428,2020-03-02,298.2,309.16,294.46,309.09
429,2020-03-03,309.49,313.84,297.57,300.24
430,2020-03-04,306.09,313.1,303.33,312.86
431,2020-03-05,304.98,308.47,300.01,302.46
432,2020-03-06,293.18,298.78,290.23,297.46
433,2020-03-09,275.29,284.19,273.45,274.23
434,2020-03-10,284.62,288.51,273.5,288.42
435,2020-03-11,280.7,281.94,270.88,274.36
436,2020-03-12,255.99,266.66,247.68,248.11
437,2020-03-13,263.09,271.08,249.58,269.32
438,2020-03-16,240.94,256.9,237.36,239.85
439,2020-03-17,245.04,256.17,237.07,252.8
440,2020-03-18,236.25,248.37,228.02,240.0
441,2020-03-19,239.25,247.38,232.22,240.51
442,2020-03-20,242.58,244.47,228.5,228.8
443,2020-03-23,228.09,229.39,218.26,222.95
444,2020-03-24,234.42,244.1,233.8,243.15
445,2020-03-25,244.86,256.35,239.75,246.79
446,2020-03-26,249.52,262.8,249.05,261.2
447,2020-03-27,253.29,260.81,251.05,253.42
448,2020-03-30,255.72,262.43,253.53,261.65
449,2020-03-31,260.58,263.33,256.22,257.75
450,2020-04-01,247.98,251.44,243.9,246.15
451,2020-04-02,245.2,252.68,244.59,251.83
452,2020-04-03,250.76,253.32,245.22,248.19
453,2020-04-06,257.84,267.0,256.72,264.86
454,2020-04-07,274.21,275.03,264.89,265.13
455,2020-04-08,267.94,275.41,265.56,274.03
456,2020-04-09,277.58,281.2,275.47,278.2
457,2020-04-13,277.15,277.51,271.41,275.66
458,2020-04-14,280.94,284.9,279.91,283.79
459,2020-04-15,277.57,279.59,275.46,277.76
460,2020-04-16,279.15,280.03,275.76,279.1
461,2020-04-17,285.37,287.3,282.4,286.64
462,2020-04-20,282.61,286.29,281.35,281.59
463,2020-04-21,276.73,278.04,272.02,273.04
464,2020-04-22,278.35,281.0,276.91,279.1
465,2020-04-23,280.49,283.94,278.75,279.08
466,2020-04-24,280.74,283.7,278.5,282.97
467,2020-04-27,285.09,288.27,284.62,287.05
468,2020-04-28,291.02,291.4,285.4,285.73
469,2020-04-29,291.53,294.88,290.41,293.21
470,2020-04-30,291.71,292.24,288.59,290.48
471,2020-05-01,285.31,286.04,281.52,282.79
472,2020-05-04,280.69,283.9,279.13,283.57
473,2020-05-05,286.64,289.25,285.75,286.19
474,2020-05-06,288.03,288.46,283.78,284.25
475,2020-05-07,287.75,289.78,287.13,287.68
476,2020-05-08,291.08,292.95,289.86,292.44
477,2020-05-11,290.34,294.0,289.88,292.5
478,2020-05-12,293.78,294.24,286.55,286.67
479,2020-05-13,286.05,287.19,278.96,281.6
480,2020-05-14,278.93,285.11,272.99,284.97
481,2020-05-15,282.4,286.33,281.34,286.28
482,2020-05-18,293.05,296.75,292.7,295.0
483,2020-05-19,294.34,296.21,291.95,291.97
484,2020-05-20,295.82,297.87,295.57,296.93
485,2020-05-21,296.78,297.67,293.68,294.88
486,2020-05-22,294.57,295.63,293.22,295.44
487,2020-05-26,301.93,302.19,298.69,299.08
488,2020-05-27,302.1,303.57,296.87,303.53
489,2020-05-28,304.65,306.84,302.24,302.97
490,2020-05-29,302.46,304.96,299.59,304.32
491,2020-06-01,303.61,306.21,303.06,305.55
492,2020-06-02,306.55,308.13,305.1,308.08
493,2020-06-03,310.23,313.22,309.94,312.18
494,2020-06-04,311.11,313.0,309.08,311.36
495,2020-06-05,317.27,321.28,317.16,319.34
496,2020-06-08,320.22,323.41,319.63,323.2
497,2020-06-09,320.29,322.37,319.36,320.79
498,2020-06-10,321.42,322.39,318.22,319.0
499,2020-06-11,311.46,312.15,300.01,300.61
500,2020-06-12,308.24,309.08,298.6,304.21
501,2020-06-15,298.02,308.28,296.74,307.05
502,2020-06-16,315.47,315.64,307.67,312.96
503,2020-06-17,314.06,314.39,310.86,311.66
504,2020-06-18,310.0,312.3,309.51,311.78
505,2020-06-19,314.17,314.38,306.53,308.64
506,2020-06-22,307.99,311.05,306.75,310.62
507,2020-06-23,313.49,314.5,311.61,312.05
508,2020-06-24,309.84,310.51,302.1,304.09
509,2020-06-25,303.48,307.64,301.28,307.35
510,2020-06-26,306.16,306.39,299.42,300.05
511,2020-06-29,301.4,304.46,298.93,304.46
512,2020-06-30,303.98,310.2,303.82,308.36
513,2020-07-01,309.56,311.89,309.07,310.52
514,2020-07-02,314.23,315.7,311.51,312.23
515,2020-07-06,316.37,317.68,315.56,317.05
516,2020-07-07,315.38,317.52,313.37,313.78
517,2020-07-08,314.61,316.3,312.7,316.18
518,2020-07-09,316.84,317.1,310.68,314.38
519,2020-07-10,314.25,317.88,312.76,317.59
520,2020-07-13,320.13,322.71,314.13,314.84
521,2020-07-14,313.28,319.76,312.0,318.92
522,2020-07-15,322.39,323.04,319.26,321.85
523,2020-07-16,319.79,321.28,319.09,320.79
524,2020-07-17,321.88,322.57,319.73,321.72
525,2020-07-20,321.43,325.13,320.62,324.32
526,2020-07-21,326.45,326.93,323.94,325.01
527,2020-07-22,324.61,327.2,324.5,326.86
528,2020-07-23,326.46,327.23,321.48,322.96
529,2020-07-24,320.95,321.99,319.24,320.88
530,2020-07-27,321.63,323.41,320.77,323.22
531,2020-07-28,322.43,323.64,320.85,321.17
532,2020-07-29,322.12,325.73,322.07,325.12
533,2020-07-30,321.9,324.41,319.64,323.96
534,2020-07-31,325.9,326.61,321.33,326.52
535,2020-08-03,328.32,329.62,327.73,328.79
536,2020-08-04,327.86,330.06,327.85,330.06
537,2020-08-05,331.47,332.39,331.18,332.11
538,2020-08-06,331.49,334.46,331.13,334.33
539,2020-08-07,333.28,334.88,332.3,334.57
540,2020-08-10,335.06,335.77,332.95,335.57
541,2020-08-11,336.86,337.54,332.01,332.8
542,2020-08-12,335.45,338.28,335.43,337.44
543,2020-08-13,336.61,338.26,335.83,336.83
544,2020-08-14,336.41,337.42,335.62,336.84
545,2020-08-17,337.93,338.34,337.48,337.91
546,2020-08-18,338.34,339.1,336.61,338.64
547,2020-08-19,339.06,339.61,336.62,337.23
548,2020-08-20,335.36,338.8,335.22,338.28
549,2020-08-21,337.93,339.72,337.55,339.48
550,2020-08-24,342.12,343.0,341.06,342.92
551,2020-08-25,343.54,344.21,342.27,344.12
552,2020-08-26,344.74,347.86,344.17,347.57
553,2020-08-27,348.53,349.9,346.53,348.33
554,2020-08-28,349.45,350.72,348.15,350.58
555,2020-08-31,350.35,351.3,349.09,349.31
556,2020-09-01,350.21,352.69,349.24,352.6
